Protein Group,Protein ID,Accession,Score (%),-10lgP,Coverage (%),Coverage (%) Tryp_1hr_Rep1,Coverage (%) Tryp_1hr_Rep2,Coverage (%) Tryp_1hr_Rep3,Coverage (%) Tryp_18hr_Rep1,Coverage (%) Tryp_18hr_Rep2,Coverage (%) Tryp_18hr_Rep3,Coverage (%) AspN_1hr_Rep1,Coverage (%) AspN_1hr_Rep2,Coverage (%) AspN_1hr_Rep3,Coverage (%) AspN_18hr_Rep1,Coverage (%) AspN_18hr_Rep2,Coverage (%) AspN_18hr_Rep3,Coverage (%) Gluc_1hr_Rep1,Coverage (%) GluC_1hr_Rep2,Coverage (%) GluC_1hr_Rep3,Coverage (%) Gluc_18hr_Rep1,Coverage (%) GluC_18hr_Rep2,Coverage (%) GluC_18hr_Rep3,Area Tryp_1hr_Rep1,Area Tryp_1hr_Rep2,Area Tryp_1hr_Rep3,Area Tryp_18hr_Rep1,Area Tryp_18hr_Rep2,Area Tryp_18hr_Rep3,Area AspN_1hr_Rep1,Area AspN_1hr_Rep2,Area AspN_1hr_Rep3,Area AspN_18hr_Rep1,Area AspN_18hr_Rep2,Area AspN_18hr_Rep3,Area Gluc_1hr_Rep1,Area GluC_1hr_Rep2,Area GluC_1hr_Rep3,Area Gluc_18hr_Rep1,Area GluC_18hr_Rep2,Area GluC_18hr_Rep3,#Peptides,#Unique,#Spec Tryp_1hr_Rep1,#Spec Tryp_1hr_Rep2,#Spec Tryp_1hr_Rep3,#Spec Tryp_18hr_Rep1,#Spec Tryp_18hr_Rep2,#Spec Tryp_18hr_Rep3,#Spec AspN_1hr_Rep1,#Spec AspN_1hr_Rep2,#Spec AspN_1hr_Rep3,#Spec AspN_18hr_Rep1,#Spec AspN_18hr_Rep2,#Spec AspN_18hr_Rep3,#Spec Gluc_1hr_Rep1,#Spec GluC_1hr_Rep2,#Spec GluC_1hr_Rep3,#Spec Gluc_18hr_Rep1,#Spec GluC_18hr_Rep2,#Spec GluC_18hr_Rep3,PTM,Avg. Mass,Description
13,60,Q9BQE3|TBA1C_HUMAN,99.2,375.27,100,82,98,92,83,45,88,73,84,81,80,90,92,37,38,51,49,57,17,1.337E9,8.9602E8,2.74E8,2.1627E9,1.5878E7,2.8059E8,2.7154E8,4.5591E8,2.2146E8,5.3851E8,5.119E8,1.6987E8,2.6235E6,4.9079E6,2.401E6,1.2752E7,4.5651E6,,281,16,734,739,597,865,501,570,550,672,460,790,794,566,68,78,124,301,757,11,Carbamidomethylation; Deamidation (NQ); Oxidation (M),49895,Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1
81,78,P07814|SYEP_HUMAN,99.2,368.11,96,57,70,65,50,32,54,40,50,41,40,50,41,5,10,19,18,28,1,2.843E9,4.3407E9,1.24E9,6.2601E9,2.2829E9,1.0526E9,1.0043E9,1.3909E9,4.1951E8,1.8404E9,1.7456E9,3.0899E8,2.4431E7,5.5676E7,9.5122E7,7.5826E8,4.5253E8,1.1792E5,252,251,301,384,302,302,242,241,222,204,127,239,223,127,12,29,51,104,364,1,Carbamidomethylation; Deamidation (NQ); Oxidation (M),170590,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5
17,1,P22626|ROA2_HUMAN,99.2,367.72,99,73,88,68,65,65,62,82,99,97,81,81,95,65,50,62,67,70,30,8.6366E9,1.1285E10,3.8243E9,1.9899E10,7.9931E9,2.7456E9,8.8364E9,1.0936E10,1.3916E9,1.9707E10,1.0072E10,1.2366E9,7.5423E8,2.3286E8,9.9408E8,1.4224E10,3.6969E9,9.0414E6,269,252,526,488,366,448,538,308,548,601,240,744,537,208,149,109,248,550,1179,6,Carbamidomethylation; Deamidation (NQ); Oxidation (M),37430,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2
40,230,P12270|TPR_HUMAN,99.2,365.81,80,35,47,37,31,28,32,32,38,22,17,34,11,56,53,26,37,40,11,1.0219E9,1.9584E9,5.4971E8,2.3065E9,1.2296E9,4.6799E8,7.7948E8,8.5956E8,1.6498E8,3.7634E8,6.9437E8,5.1108E7,3.4019E9,1.3421E9,2.0038E8,2.4723E9,9.7725E8,3.1073E7,392,392,192,285,179,154,257,172,198,163,72,89,139,42,775,580,148,396,956,46,Carbamidomethylation; Deamidation (NQ); Oxidation (M),267290,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3
14,69,P0DMV8|HS71A_HUMAN,99.2,365.49,100,59,71,75,56,43,66,87,83,78,86,87,77,31,35,39,35,62,13,6.8037E9,9.2956E9,3.1193E9,1.7403E10,5.6803E9,2.4001E9,8.2723E9,1.0366E10,2.5067E9,1.2108E10,8.6093E9,1.4484E9,5.0671E8,1.957E8,3.7165E8,2.6199E9,1.4125E9,4.9225E7,255,134,643,593,536,713,752,441,707,670,371,950,754,378,103,76,141,243,952,24,Carbamidomethylation; Deamidation (NQ); Oxidation (M),70052,Heat shock 70 kDa protein 1A OS=Homo sapiens OX=9606 GN=HSPA1A PE=1 SV=1
14,70,P0DMV9|HS71B_HUMAN,99.2,365.49,100,59,71,75,56,43,66,87,83,78,86,87,77,31,35,39,35,62,13,6.8037E9,9.2956E9,3.1193E9,1.7403E10,5.6803E9,2.4001E9,8.2723E9,1.0366E10,2.5067E9,1.2108E10,8.6093E9,1.4484E9,5.0671E8,1.957E8,3.7165E8,2.6199E9,1.4125E9,4.9225E7,255,134,643,593,536,713,752,441,707,670,371,950,754,378,103,76,141,243,952,24,Carbamidomethylation; Deamidation (NQ); Oxidation (M),70052,Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1
89,168,Q14315|FLNC_HUMAN,99.2,365.24,84,43,47,41,45,32,44,21,36,23,19,35,26,3,7,14,14,25,1,2.0862E9,3.1624E9,8.9202E8,5.2694E9,2.0629E9,7.979E8,4.273E8,1.0945E9,2.6E8,5.4253E8,1.2647E9,1.9347E8,2.1053E7,4.4808E7,7.868E7,6.7477E8,5.0072E8,5.0334E5,287,261,290,329,266,326,375,252,94,158,102,88,174,107,8,33,77,118,456,6,Carbamidomethylation; Deamidation (NQ),291020,Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3
10,33,Q13885|TBB2A_HUMAN,99.2,361.25,93,79,76,77,77,56,78,73,73,68,67,71,71,27,40,45,52,52,8,1.5081E7,9.1111E7,3.0382E7,3.9893E7,4.2487E7,9.134E6,5.3793E6,1.6214E7,3.7291E6,4.5719E6,5.4247E7,6.9391E6,,,,1.608E7,7.1362E6,,262,7,950,758,797,1043,954,721,601,547,400,937,860,605,25,61,156,338,829,28,Carbamidomethylation; Deamidation (NQ); Oxidation (M),49907,Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1
8,39,P04350|TBB4A_HUMAN,99.2,361.18,91,79,68,76,78,46,77,69,73,71,69,80,76,27,42,43,43,46,4,,,,,,,,3.3877E6,,,,,,,,,,,252,2,1057,876,819,1189,787,810,627,697,464,780,938,595,35,59,161,345,951,5,Carbamidomethylation; Deamidation (NQ); Oxidation (M),49586,Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2
104,240,P78527|PRKDC_HUMAN,99.2,358.51,64,34,37,33,33,20,38,12,16,9,14,17,19,0,1,1,1,1,1,2.9581E9,3.8993E9,1.1149E9,7.526E9,2.5295E9,1.5385E9,3.6178E8,7.5375E8,1.5621E8,8.8701E8,9.7188E8,2.0333E8,,3.0195E6,8.0619E6,2.6621E7,3.8742E7,1.2961E5,309,309,333,351,315,392,327,410,89,140,64,125,158,134,0,4,6,6,37,1,Carbamidomethylation; Deamidation (NQ),469093,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3
142,185,O75643|U520_HUMAN,99.2,356.83,82,47,60,50,49,22,49,22,28,19,22,30,35,1,2,4,4,5,0,1.7188E9,2.3938E9,7.1042E8,5.0408E9,1.4311E9,9.9015E8,7.0798E8,1.1045E9,2.4682E8,9.4543E8,1.249E9,2.566E8,5.7842E7,3.9355E7,1.4172E7,1.3689E8,5.944E7,1.7884E6,235,235,237,282,203,269,281,238,102,122,77,148,145,151,10,13,9,21,46,1,Carbamidomethylation; Deamidation (NQ); Oxidation (M),244505,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2
30,31,Q13263|TIF1B_HUMAN,99.2,354.90,96,52,63,63,60,43,60,61,66,52,58,57,53,54,51,53,55,73,16,2.7462E9,4.5636E9,1.181E9,6.4095E9,2.6666E9,1.0753E9,2.6944E9,3.2467E9,7.807E8,2.9087E9,2.9021E9,4.2241E8,1.007E9,6.1178E8,3.7846E8,3.526E9,1.6964E9,1.5203E7,209,209,204,270,190,243,403,172,390,353,159,375,258,149,218,217,207,364,985,25,Carbamidomethylation; Deamidation (NQ); Oxidation (M),88550,Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5
27,210,Q00839|HNRPU_HUMAN,99.2,353.91,83,53,54,46,41,31,40,32,52,49,35,55,51,13,20,29,30,45,3,8.8192E9,1.2533E10,3.2805E9,1.9228E10,5.6769E9,2.614E9,1.3827E9,3.3765E9,8.3612E8,3.0879E9,4.8944E9,1.0467E9,2.7473E8,2.1368E8,2.6192E8,3.116E9,1.3965E9,7.3528E6,214,213,497,431,376,420,368,248,250,366,264,330,450,263,58,89,90,201,682,4,Carbamidomethylation; Deamidation (NQ); Oxidation (M),90585,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6
21,50,P31948|STIP1_HUMAN,99.2,352.23,94,60,70,64,47,43,47,60,72,59,63,63,71,69,79,67,70,77,50,3.1484E9,4.5818E9,1.3491E9,7.3815E9,3.0034E9,1.0018E9,1.8989E9,3.439E9,6.7169E8,3.2117E9,3.0931E9,5.2988E8,5.8823E9,2.2114E9,6.1787E8,1.0246E10,3.0083E9,1.1726E8,240,240,293,282,254,248,331,149,283,328,193,358,281,189,702,486,233,656,1289,83,Carbamidomethylation; Deamidation (NQ); Oxidation (M),62639,Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1
59,155,P35579|MYH9_HUMAN,99.2,350.91,85,48,55,46,36,24,42,40,38,26,33,28,21,40,36,16,25,22,12,8.4337E8,1.91E9,4.7447E8,1.7883E9,7.1089E8,4.0957E8,8.3914E8,8.729E8,1.6088E8,8.0167E8,5.2665E8,8.0851E7,2.728E9,1.0959E9,1.8946E8,2.0037E9,9.585E8,3.9261E7,349,302,215,316,202,184,179,199,219,168,88,160,98,60,558,393,90,275,716,54,Carbamidomethylation; Deamidation (NQ); Oxidation (M),226530,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4
19,114,P68366|TBA4A_HUMAN,99.2,349.59,97,74,82,77,75,45,81,71,71,76,70,88,88,29,30,48,51,52,11,1.4196E8,1.2475E8,2.4424E7,1.8649E8,9.5065E7,5.7334E7,1.6839E8,1.7683E8,5.9394E7,1.265E8,1.1248E8,2.3251E7,1.1763E6,2.225E6,2.2858E6,4.3611E7,3.2402E7,,221,18,745,674,512,901,519,505,358,399,320,531,521,439,36,37,86,171,467,5,Carbamidomethylation; Deamidation (NQ); Oxidation (M),49924,Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1
7,1189,P62937|PPIA_HUMAN,99.2,346.73,99,82,86,82,71,60,71,96,96,96,96,96,96,96,96,92,96,96,91,1.9249E10,2.1779E10,8.9198E9,4.0463E10,1.3395E10,6.9872E9,7.4242E9,1.3343E10,3.148E9,1.6123E10,1.0156E10,2.5354E9,2.6439E10,7.1143E9,2.7992E9,3.006E10,8.9666E9,5.5703E8,247,232,415,329,286,443,754,304,562,538,308,776,497,289,1842,1046,367,1022,1922,164,Carbamidomethylation; Deamidation (NQ); Oxidation (M),18012,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2
37,268,P19338|NUCL_HUMAN,99.2,346.31,65,46,46,39,28,20,29,43,56,45,43,48,42,18,28,39,44,49,6,6.8567E9,9.6481E9,2.9899E9,1.1369E10,4.7364E9,1.991E9,2.7173E9,4.4153E9,1.152E9,4.8406E9,5.6031E9,6.9171E8,1.5835E8,1.832E8,7.9535E8,4.4732E9,3.7743E9,5.2882E6,186,185,315,369,321,241,320,178,212,338,214,321,338,163,36,61,133,293,1082,2,Carbamidomethylation; Deamidation (NQ); Oxidation (M),76615,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3
70,7,P34932|HSP74_HUMAN,99.2,346.27,98,60,75,66,56,45,64,41,73,69,50,73,65,28,37,35,40,47,18,1.9643E9,2.9294E9,8.7453E8,4.6594E9,1.657E9,9.149E8,7.7809E8,1.2527E9,4.215E8,8.1404E8,1.8927E9,3.0901E8,1.0997E9,5.3894E8,2.7669E8,2.6542E9,1.0206E9,3.4758E7,214,196,249,252,219,195,295,200,127,207,183,126,236,139,316,202,104,260,632,39,Carbamidomethylation; Deamidation (NQ); Oxidation (M),94331,Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4
66,6,P14618|KPYM_HUMAN,99.2,346.20,95,70,75,76,69,42,62,56,73,69,66,71,76,67,76,47,55,68,15,5.6485E9,5.9594E9,2.1776E9,1.2654E10,3.187E9,2.5059E9,1.8418E9,3.1628E9,9.8473E8,3.2417E9,3.7501E9,7.5217E8,2.9495E8,1.1344E8,9.7994E7,1.0391E9,4.0463E8,2.4644E6,201,190,323,283,275,352,341,253,218,279,197,243,229,202,115,82,81,170,415,3,Carbamidomethylation; Deamidation (NQ); Oxidation (M),57937,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4
61,157,P35580|MYH10_HUMAN,99.2,346.14,87,45,52,48,41,29,42,39,51,32,40,40,21,41,38,16,27,23,11,7.6782E8,1.4082E9,3.4389E8,1.6489E9,8.5489E8,3.8217E8,8.9731E8,1.2153E9,2.4327E8,9.1547E8,8.204E8,7.8488E7,2.1194E9,7.8555E8,1.0102E8,1.4899E9,5.8263E8,2.2344E7,346,297,205,254,205,192,209,197,245,275,124,230,162,76,514,330,69,275,561,33,Carbamidomethylation; Deamidation (NQ); Oxidation (M),228997,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3
56,27,P43487|RANG_HUMAN,99.2,345.74,100,74,75,75,65,63,61,87,87,78,87,81,74,92,81,69,87,69,57,5.1792E9,4.3868E9,1.7928E9,1.0254E10,2.6293E9,1.2238E9,3.3258E9,2.9872E9,9.3014E8,5.0547E9,2.744E9,5.4942E8,4.3651E9,1.0732E9,5.658E8,6.5659E9,1.5426E9,2.2205E8,124,124,215,172,145,280,212,93,255,242,225,343,237,167,547,241,112,321,434,28,Carbamidomethylation; Deamidation (NQ); Oxidation (M),23310,Ran-specific GTPase-activating protein OS=Homo sapiens OX=9606 GN=RANBP1 PE=1 SV=1
44,24,P00558|PGK1_HUMAN,99.2,345.44,99,80,84,81,71,53,67,87,84,84,77,85,78,44,30,70,63,71,7,6.5372E9,7.82E9,3.1893E9,1.6E10,3.3105E9,2.4321E9,1.6253E9,2.8742E9,1.1737E9,2.7445E9,4.342E9,9.4052E8,7.8752E7,1.3611E8,5.245E8,3.1456E9,1.2845E9,8.3558E7,168,154,357,338,292,390,237,288,240,313,248,352,391,306,36,40,120,202,479,12,Carbamidomethylation; Deamidation (NQ); Oxidation (M),44615,Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3
25,136,P38646|GRP75_HUMAN,99.2,345.27,92,62,73,70,41,32,48,84,78,79,76,82,69,34,31,57,58,67,17,3.1405E9,4.663E9,1.4348E9,9.5376E9,3.0379E9,1.6976E9,3.7364E9,4.5009E9,1.1899E9,5.5804E9,5.0457E9,8.0392E8,3.476E8,1.2586E8,3.8701E8,2.8465E9,1.1039E9,9.9979E6,210,206,251,272,254,287,352,247,431,387,259,530,401,231,114,86,208,478,965,18,Carbamidomethylation; Deamidation (NQ); Oxidation (M),73681,Stress-70 protein  mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2
15,46,P06748|NPM_HUMAN,99.2,345.16,98,62,72,63,54,20,52,59,90,83,65,75,73,69,69,66,63,68,58,8.331E9,9.8286E9,2.4475E9,2.221E10,4.1169E9,3.4585E9,6.9225E9,9.5706E9,2.4742E9,1.0782E10,1.1786E10,2.2579E9,6.2341E9,2.9654E9,2.9271E9,3.3594E10,9.8718E9,2.6899E8,225,224,461,381,249,469,85,216,411,429,279,483,347,255,495,381,283,976,1768,116,Carbamidomethylation; Deamidation (NQ); Oxidation (M),32575,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2
185,222,Q6P2Q9|PRP8_HUMAN,99.2,344.74,71,39,46,35,42,23,42,15,21,16,18,23,19,1,1,2,1,5,0,1.3685E9,1.7173E9,5.6921E8,5.0811E9,1.56E9,9.8071E8,2.3089E8,4.7719E8,1.2898E8,4.5751E8,5.7994E8,9.9123E7,6.2382E6,2.9886E6,8.679E6,4.0062E7,2.6059E7,,205,204,213,202,176,278,209,221,64,86,44,80,103,70,2,4,9,7,36,0,Carbamidomethylation; Deamidation (NQ),273599,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2
74,79,P55072|TERA_HUMAN,99.2,344.12,97,68,70,75,62,38,64,61,71,57,57,62,56,31,32,44,49,60,4,3.0159E9,3.8293E9,1.5898E9,7.2814E9,2.2709E9,1.461E9,1.9847E9,2.6791E9,7.3072E8,2.8725E9,2.5245E9,4.4724E8,2.3673E8,1.0562E8,1.5126E8,1.4126E9,6.1695E8,1.4921E6,201,198,317,269,322,300,195,236,264,257,166,234,225,156,48,54,95,209,538,2,Carbamidomethylation; Deamidation (NQ); Oxidation (M),89322,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4
20,207,P09651|ROA1_HUMAN,99.2,343.37,85,55,58,52,46,45,45,52,72,54,65,65,65,38,45,49,44,60,0,4.037E9,5.3516E9,1.209E9,4.2597E9,2.033E9,5.3374E8,5.6074E9,2.8968E9,3.1004E8,7.8855E9,3.6087E9,1.0279E8,4.0327E7,7.288E7,3.1359E8,2.9682E9,9.3042E8,,184,69,487,481,328,578,488,277,468,463,212,605,466,181,24,52,213,392,1004,0,Carbamidomethylation; Deamidation (NQ); Oxidation (M),38747,Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5
77,14,P14866|HNRPL_HUMAN,99.2,341.91,96,60,75,70,45,38,54,83,84,67,81,79,83,11,14,14,16,40,0,3.1319E9,5.1352E9,1.2684E9,7.62E9,2.777E9,9.905E8,2.9561E9,3.4752E9,6.4096E8,3.7616E9,4.6238E9,5.8368E8,5.7588E7,3.4111E7,4.3878E7,4.978E8,3.2753E8,,145,144,212,271,177,242,198,136,352,405,181,384,445,211,16,16,29,46,258,0,Carbamidomethylation; Deamidation (NQ); Oxidation (M),64133,Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2
